index,question,choice_0,choice_1,choice_2,choice_3,choice_4,answer,split
120,"Ruling below: CA 9, 298 F.3d 1030.
Whether the Americans with Disabilities Act confers preferential rehire rights on employees lawfully terminated for misconduct, such as illegal drug use.","holding that, in disability discrimination case, if employer applied ""a neutral, generally applicable no-rehire policy,"" to employee terminated for cause, employer's ""decision not to rehire [former employee] can, in no way, be said to have been motivated by [former employee's] disability""","holding that a state engages in disability discrimination if it institutionalizes individuals with disabilities when community- based placement could be reasonably accommodated, accounting for the resources available to the state and the needs of others with disabilities.",holding that an “attorney's personal interest in a disqualification ruling” is neither “relevant [n]or dispositive” to the question of whether such a ruling is immediately appealable,"holding that ""schools [may] restrict student expression that they reasonably regard as promoting illegal drug use""",holding that the statutory definition of “new drug” confers authority upon the FDA,0,test
121,"42 U.S.C. §§ 40SG) and 1383(a) authorize the Commissioner of Social Security to appoint a representative payee to receive benefits on behalf of a beneficiary, and social security regulations provide that the payee may use the benefits to pay for the beneficiary's current care. 42 U.S.C. § 407(a) provides that these benefits are not subject to ""execution, levy, attachment, garnishment, or other legal process"". This case presents the following question:
Does a representative payee violate 42 U.S.C. § 407(a) when the payee uses the benefits to pay for the beneficiary's current care?",holding that a Social Security manual did not bind the Social Security Administration because it is not a regulation and has “no legal force”,"holding that congressional reduction of social welfare benefits, or even elimination of such benefits, does not constitute a “taking” of private property",holding that “the express language of § 407 and the clear intent of Congress that Social Security benefits not be attachable”,"holding that the phrase “other legal process” in 42 U.S.C. § 407 refers only to the utilization of a judicial or quasi-judicial mechanism, the common attribute shared by the phrase and the statutory enumeration preceding it","holding that social security benefits paid to beneficiary retained their exempt status pursuant to § 407 so long as the funds were invested such that they remained ""readily withdrawable""",3,test
122,"This Court has held that police officers who procure and execute warrants later determined invalid are entitled to qualified immunity, and evidence obtained should not be suppressed, so long as the warrant is not ""so lacking in indicia of probable cause as to render official belief in its existence entirely unreasonable."" United States v. Leon, 468 U.S. 897, 920, 923 (1984); Malley v. Briggs, 475 U.S. 335,341,344-45 (1986). The Questions Presented are:
Under these standards, are officers entitled to qualified immunity where they obtained a facially valid warrant to search for firearms, firearm-related materials, and gang-related items in the residence of a gang member and felon who had threatened to kill his girlfriend and fired a sawed-off shotgun at her, and a district attorney approved the application, no factually on-point case law prohibited the search, and the alleged overbreadth in the warrant did not expand the scope of the search?",holding that the initial illegal entry of the premises did not require the suppression of evidence later obtained in the execution of the search warrant because the warrant affidavit was based only on the information obtained before the illegal entry,"holding that the officers reasonably believed that the scope of a warrant, which was approved by a prosecutor and issued by a neutral magistrate, was supported by probable cause",holding that a subsequent warrant can provide a valid independent source so long as the initial entry did not affect the police’s “decision to seek the warrant” or the judge’s “decision to issue the warrant”,"holding that evidence obtained from a warrant that lacked probable cause should be suppressed only if it is ""so lacking in indicia of probable cause as to render official belief in its existence entirely unreasonable"" (quoting Brown v. Illinois, 422 U.S. 590, 610-11 (1975) (Powell, J., concurring in part))","holding that where a judge accompanies police officers on a search to broaden the scope of the warrant as the search progresses, the search is unreasonable despite an initially valid warrant",1,test
123,"In determining that Petitioner was not entitled to equitable tolling to excuse the late filing of his habeas petition, the Eleventh Circuit determined that the reason for the late filing was the 'gross negligence' on part of Petitioner's state-appointed collateral attorney's failure to file the petition in a timely fashion despite repeated instructions from the Petitioner to do so. However, under the new test announced by the Eleventh Circuit in Petitioner's case, no allegation of attorney negligence or failure to meet a lawyer’s standard of care, in the absence of bad faith, dishonesty, divided loyalty, or mental impairment, could ever qualify as an exceptional circumstance warranting equitable tolling.
This Court should grant certiorari to the Eleventh Circuit to determine whether 'gross negligence' by collateral counsel, which directly results in the late filing of a petition for a writ of habeas corpus, can qualify as an exceptional circumstance warranting equitable tolling, or whether, in conflict with other circuits, the Eleventh Circuit was proper in determining that factors beyond 'gross negligence' must be established before an extraordinary circumstance can be found that would warrant equitable tolling.","holding that where the statute at issue provided for an additional 60 days to file for good cause shown and Congress had demonstrated an intent to preclude tolling, the 90-day period to file a petition for certiorari to the Supreme Court was not subject to equitable tolling","holding that where a narrow tolling provision in § 507 provided tolling unavailable under traditional equitable tolling principles, it ""supplement[ed]"" equitable tolling rather than implying its unavailability",holding that equitable tolling was appropriate where complainant was misled by adversary as to deadline for filing action,"holding that equitable tolling may apply where petitioner wrote numerous letters to his attorney that went unanswered, and ""also repeatedly contacted the state courts, their clerks, and the . . . State Bar Association in an effort to have [his attorney]—the central impediment to the pursuit of his legal remedy—removed from his case.""",holding that counsel’s miscalculation of the limitations 12 USCA11 Case: 20-11453 Date Filed: 07/09/2021 Page: 13 of 14 period “is simply not sufficient to warrant equitable tolling” and rejecting a claim for equitable tolling on the basis of legal confusion,3,test
124,"10 U.S.C. § 1089 concerns the defense of military medical personnel against claims for tortious acts committed in the scope of employment. It directs that suits may be brought only against the United States under the Federal Tort Claims Act, which waives sovereign immunity. 28 U.S.C. § 2680 (h) of the FTCA excludes some suits, including battery, from its waiver. Subsection 1089 (e) states, ""For purposes of this section, the provisions of section 2680 (h) ... shall not apply to any cause of action arising out of a ... wrongful act ... in the performance of medical ... functions .... "" The particular question presented is whether suit may be brought against the United States for battery committed to a civilian by military medical personnel acting within the scope of employment. The broader question raises the same issue for the same and other claims against groups of government employees whose defense would fall under similarly worded statutes. This Court has never addressed these issues.
Whether suit may be brought against the United States for battery committed to a civilian by military medical personnel acting within the scope of employment.","holding that in action brought under the Federal Tort Claims Act, plaintiff could not assert state claims against a second defendant without independent base of federal jurisdiction","holding that § 233 ""grants absolute immunity to PHS officers and employees for actions arising out of the performance of medical or related functions within the scope of their employment by barring all actions against them for such conduct""",holding that Appellate military judges are Officers of the United States. The Court of Military Appeals erred in according de facto validity to the actions of the civilian judges whose appointments did not conform to the Appointments Clause. This error required a new hearing.,"holding that the Westfall Act ""makes the remedy against the United States under the FTCA exclusive for torts committed by federal employees acting within the scope of their employment""","holding that the QTA “provides the United States' consent to suit concerning its claim to [certain] lands, provided, of course, that the plaintiff challenging the Government's title meets the conditions attached to the United States' waiver of immunity”",3,test
125,"Whether a taxpayer who would have been entitled to file a tax refund action in federal court to seek a refund of taxes (and interest thereon), but who failed to satisfy a statutory prerequisite to such an action (namely, the filing of a timely administrative refund claim) and is therefore barred from bringing such an action, may obtain a refund, and interest thereon, through an action directly under the Constitution pursuant to the Tucker Act, 28 U.S.C. 1491(a).","holding that the ""restrictions [of section 6512(b)(3)] governing the Tax Court's authority to award a refund of overpaid taxes incorporate only the look-back period and not the filing deadline from § 6511""","holding that refund suit for tax imposed in violation of Export Clause, filed beyond applicable period of limitations, was barred where claimant had failed to first present timely administrative claim to Internal Revenue Service, even though there was little — if any — reason to believe that claim would have been granted","holding that a conspiracy to evade income taxes extended to false statements made to IRS agents because ""concealment of the 'holdout' income must continue if the evasion is to succeed. It must continue until action thereon is barred and the evasion permanently effected.""","holding that 26 U.S.C. § 6511, which, when read with 26 U.S.C. § 7422, provides that “unless a claim for refund of a tax has been filed within the time limits ..., a suit for refund ... may not be maintained in any court,” is jurisdictional","holding that a party who, though not assessed a tax, paid a tax under protest to remove a federal tax lien from her property was a “taxpayer” entitled to bring administrative tax refund claim",1,test
126,"Indian tribal courts inherently lack jurisdiction to hear claims between members and nonmembers. In Montana v. U.S., 450 U.S. 544, 565 (1981), this Court identified two narrow exceptions. The first relates to regulation of nonmembers who enter into consensual relationships with the tribe or its members. The second relates to civil authority concerning activity that directly affects the tribe’s political integrity, economic security, health, or welfare. This Court, however, has never upheld tribal-court, civil-adjudicatory jurisdiction over a nonmember defendant under the first Montana exception, and expressly left this question open in Nevada v. Hicks, 533 U.S. 353, 360 (2001). The question presented is:
Whether Indian tribal courts have subject-matter jurisdiction to adjudicate civil tort claims as an “other means” of regulating the conduct of a nonmember bank owning fee-land on a reservation that entered into a private commercial agreement with a member-owned corporation?",holding that the tribe's authority to tax nonmember mining and drilling on tribal land derived from its inherent power to govern and pay for the costs of self-government and stating that such regulations were also within the tribe's inherent power to condition the continued presence of nonmembers on tribal land,"holding that federal district court had diversity jurisdiction over insurance dispute, but that a federal court may not exercise diversity jurisdiction over a civil dispute relating to reservation affairs before an appropriate Indian tribal court system has had an opportunity to determine its own jurisdiction","holding that ""the retained sovereignty of the tribe as a political and social organization to govern its own affairs does not include the authority to impose criminal sanctions"" on a nonmember Indian who committed murder on the tribe's reservation",holding that a tribal court lacked subject matter jurisdiction over a suit by an Indian plaintiff against a non-Indian defendant for conduct involving the sale of fee land within Indian country,"holding ""tribal courts may not entertain claims against nonmembers arising out of accidents on state highways, absent a statute or treaty authorizing the tribe to govern the conduct of nonmembers on the highway in question""",3,test
127,"Section 523(a)(2) of the Bankruptcy Code provides that a debt for money obtained by means of fraud (and certain other categories of debt) is not dischargeable in bankruptcy. This case presents a question that has divided the courts of appeals:
Whether an otherwise nondischargeable debt becomes dischargeable if the parties enter into a settlement agreement resolving the amount of the debt?","holding that 15 U.S.C. § 1692e ""do[es] not merely impose procedural requirements upon debt collectors, but instead 'create a private duty owed personally to' a consumer by a debt collector to refrain from using false, deceptive, or misleading means or representations in attempting to collect a debt""",holding that federal bankruptcy law preempted a state law that interfered with federal bankruptcy law’s goal of providing uniform standards for determining discharge of debt,"holding that settlement agreement of underlying suit, which did not settle the issue of fraud, did not bar plaintiff from showing that the settlement debt actually arose out of fraud and was, therefore, nondischargeable under § 523","holding that post-petition interest on nondischargeable tax debt remained a personal liability of the debtor after bankruptcy, finding ""the reasons—and thus the rule—inapplicable""","holding that lawyers who regularly collect consumer debt through litigation may be considered ""debt collectors"" under the Fair Debt Collection Practices Act, 15 U.S.C. §§ 1692- 1692o, and are therefore subject to liability for litigation activities",2,test
128,"Employee benefit plans often cover a participant's medical bills in the event of injury but require that, if the participant obtains compensation from a third party for that injury, he or she reimburse the plan in full. Under Section 502(a)(3) of the Employee Retirement Income Security Act (""ERISA""), plans may enforce these reimbursement provisions in court by seeking ""appropriate equitable relief” to enforce ""the terms of the plan."" 29 U.S.C. § 1132(a)(3). Twice in recent years this Court has resolved disputes about how Section 502(a)(3) works in reimbursement actions. In the more recent case, Sereboff v. Mid Atlantic Medical Services, Inc., 547 U.S. 356 (2006), the Court expressly reserved a third question about the provision. The Third Circuit, in its words, has now ""squarely"" answered ""the question that Sereboff left open,"" Pet. App. 9a, and has done so in a way that, as it acknowledged, splits the circuits.
Whether the Third Circuit correctly held-in conflict with the Fifth, Seventh, Eighth, Eleventh, and D.C. Circuits-that ERISA Section 502(a)(3) authorizes courts to use equitable principles to rewrite contractual language and refuse to order participants to reimburse their plan for benefits paid, even where the plan's terms give it an absolute right to full reimbursement.",holding that a contractual right to reimbursement from funds recovered from a third party supported a plan’s action under § 502(a)(3) because the clause established an equitable lien by agreement,"holding that an ERISA plan fiduciary, bringing action under ERISA § 502, could enforce a lien on monies received by the beneficiary from a third party tortfeasor, reasoning that the lien would serve to hold the fiduciary and beneficiary to their mutual promises pursuant to the governing ERISA plan document","holding that ERISA preempted a state anti-subrogation law, the latter of which prohibited an employee welfare benefit plan from requiring reimbursement from a participant that already had recovered from a third party, and noting that preemption served “to ensure that benefit plans will be governed by only a single set of regulations”","holding that a participant in a disability plan could not bring suit under § 502 to recover consequential damages arising from delay in the processing of her claim because § 502 ""provid[es] remedies that would protect the entire plan rather than individuals""","holding that an action for reimbursement under an Employee Retirement Income Security Act (""ERISA"") plan involved a legal determination, and therefore was not authorized as an equitable remedy under § 502 of ERISA, because the petitioners were seeking to impose personal liability on the respondents for a contractual obligation to pay money damages",1,test
129,"The Antiterrorism and Effective Death Penalty Act of 1996 (AEDPA) contains a one-year statute of limitations for filing a habeas petition. In Holland v. Florida, 130 S. Ct. 2549, 2562 (2010), this Court affirmed that a habeas petitioner is entitled to equitable tolling of that one-year period ""only if he shows: (1) that he has been pursuing his rights diligently, and (2) that some extraordinary circumstance stood in his way and prevented timely filing."" This petition presents two recurring questions of jurisprudential significance involving equitable tolling under AEDPA that have divided the circuits:
Whether there is an actual-innocence exception to the requirement that a petitioner show an extraordinary circumstance that ""prevented timely filing"" of a habeas petition.",holding that attorney abandonment constitutes an extraordinary circumstance that allows a federal court to disregard the state procedural bar to hearing a habeas petition,holding that whether the AEDPA governs depends on whether the petitioner had filed an application for habeas relief seeking an adjudication on the merits prior to AEDPA's effective date,"holding that the right to appointed counsel in federal habeas proceedings “adheres prior to the filing of a formal, legally sufficient habeas corpus petition” because it “includes a right to legal assistance in the preparation of a habeas corpus application”","holding that a showing of actual innocence requires ""evidence of innocence so strong that a court cannot have confidence in the outcome of the trial unless the court is also satisfied that the trial was free of non-harmless constitutional error.""",holding that the time limit for filing a petition for certiorari is not jurisdictional,3,test
130,"1. Whether §4(a) of the Voting Rights Act, which permits ""political subdivisions"" of a State covered by §5's requirement that certain jurisdictions preclear changes affecting voting with the federal government to bail out of §5 coverage if they can establish a ten-year history of compliance with the VRA, must be available to any political subunit of a covered State when the Court's precedent requires ""political subdivision"" to be given its ordinary meaning throughout most of the VRA and no statutory text abrogates that interpretation with respect to §4(a).
2. Whether, under the Court's consistent jurisprudence requiring that remedial legislation be congruent and proportional to substantive constitutional guarantees, the 2006 enactment of the §5 preclearance requirement can be applied as a valid exercise of Congress's remedial powers under the Reconstruction Amendments when that enactment was founded on a congressional record demonstrating no evidence of a persisting pattern of attempts to evade court enforcement of voting-rights guarantees in jurisdictions covered only on the basis of data 35 or more years old, or even when considered under a purportedly less stringent rational-basis standard
Whether §4(a) of the Voting Rights Act, which permits ""political subdivisions"" of a State covered by §5's requirement that certain jurisdictions preclear changes affecting voting with the federal government to bail out of §5 coverage if they can establish a ten-year history of compliance with the VRA, must be available to any political subunit of a covered State when the Court's precedent requires ""political subdivision"" to be given its ordinary meaning throughout most of the VRA and no statutory text abrogates that interpretation with respect to §4(a).","holding that ""where a political subdivision has been separately designated for coverage under § 4, all political units within it are subject to the preclearance requirement.""","holding that government may not retaliate against contractors or ""regular provider of services"" for exercising First Amendment rights of political association or expression of political allegiance ""unless political affiliation is a reasonably appropriate requirement for the [services] in question""",holding that constitutional questions about sections 4 and 5 could be avoided because a covered jurisdiction that bails out of coverage frees itself from the restrictions of sections 4 and 5,"holding county board of education rule, which required employees to take unpaid leaves of absence while campaigning for elective political office, required § 5 compliance because it was a ""standard, practice or procedure with respect to voting""","holding that the Fourteenth Amendment guarantees that a State, in dividing itself into geographical voting districts, may not identify voters of one political party with the intent and effect of diluting the vote of another party",2,test
131,May a seaman recover punitive damages for the willful failure to pay maintenance and cure?,holding that maintenance and cure continues until a seaman's injury is medically diagnosed as permanent,"holding the Jones Act did not displace general maritime law remedy of punitive damages against a shipowner who willfully and wantonly denies maintenance and cure, because such damages have long been recognized and nothing in the Jones Act altered this understanding","holding that, although there is no “bright line marking the limits of a constitutionally acceptable punitive damages award,” jury’s $2 million punitive damages award for BMW’s failure to disclose that some of its cars were repainted before sale “transcends the constitutional limit”",holding punitive damages unavailable against union for breach of duty of fair representation but taking no position on availability of punitive damages against union for violation of LMRDA,"holding that general damages are not available under Section 552a(g)(D), and monetary damages require: intentional or willful action; and actual damages, not merely an ""adverse effect""",1,test
132,"Whether a party that is potentially responsible for the cost of cleaning up property contaminated by hazardous substances under the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA), 42 U.S.C. 9601 et seq., but that does not satisfy the requirements for bringing an action for contribution under Section 113(f) of CERCLA, 42 U.S.C. 9613(f), may bring an action against another potentially responsible party under Section 107(a), 42 U.S.C. 9607(a).","holding that notwithstanding the presumption that parent corporations are not liable for the acts of their subsidiaries, a parent may be directly liable under the Comprehensive Environmental Response, Compensation, and Liability Act as an ""operator"" of a subsidiary's facility when its ""actions ... are eccentric under accepted norms of parental oversight""","holding that the portion of § 113(f) cited above ""rebuts any presumption that the express right of contribution provided by the enabling clause is the exclusive cause of action for contribution available to a [potentially responsible party]""",holding CERCLA section 107 provides potentially responsible parties with cause of action to recover necessary costs of response from other PRPs,"holding that determination or certification of the Attorney General under section 4(b) of the Voting Rights Act, 42 U.S.C. Sec. 1973b(b), was not subject to judicial review when section 4(b) provided that such actions were ""not reviewable in any court""",holding that “the award of monetary damages ... to fund a future clean-up of ... property violate CERCLA” because § 113(g) provides that under § 107 the remedy for future response costs is a declaratory judgment,2,test
133,"Section 507 of the Bankruptcy Code grants payment priority to some unsecured claims, including claims for certain wages and employee benefits earned before the bankruptcy filing. 11 U.S.C. § 507(a)(4), (5). Such priority claims must be paid in full before other unsecured claims may be paid from estate assets. The debtor in this chapter 11 case agreed to settle a cause of action belonging to the estate. Rather than distributing the settlement proceeds under a confirmed plan of reorganization, the debtor then sought a ""structured dismissal"" of the bankruptcy case. The dismissal order provided that the settlement proceeds would be paid to general unsecured creditors, rather than to petitioners, former employees of the debtor whose claims have priority over those of general unsecured creditors under § 507(a)(4) and (5). The question presented, on which the courts of appeals are divided, is:
Whether a bankruptcy court may authorize the distribution of settlement proceeds in a manner that violates the statutory priority scheme.",holding that the claims that will have priority in advance of payment to all other creditors are the costs and expenses of administration of the estate,"holding that a bankruptcy court lacks the authority, absent the consent of affected parties, to order a distribution scheme related to a Chapter 11 dismissal that skips the Bankruptcy Code’s ""basic priority rules"" for ""final distributions of estate value in business bankruptcies""","holding that ""it is sensible to view the debtor-in-possession as the same `entity' which existed before the filing of the bankruptcy petition, but empowered by virtue of the Bankruptcy Code to deal with its contracts and property in a manner it could not have employed absent the bankruptcy filing""",holding that bankruptcy court had jurisdiction to issue injunction prohibiting execution of supersedeas bond that was not part of the debtor's Chapter 11 bankruptcy estate because bankruptcy court's jurisdiction extends to “more than the simpl[e] proceedings involving the property of the estate”,"holding that the Rock Island Railroad Transition and Employee Assistance Act,which ordered a debtor railroad company's bankruptcy estate to pay benefits to former employees of the debtor, was a law on the subject of bankruptcies and violated the Bankruptcy Clause",1,test
134,"The Speedy Trial Act, 18 U.S.C. § 3161 et seq., requires that a criminal defendant be tried within 70 days of indictment or the defendant's first appearance in court, whichever is later. In calculating the 70-day period, 18 U.S.C. § 3161(h)(1) automatically excludes ""delay resulting from other proceedings concerning the defendant, including but not limited to * * * (D) delay resulting from any pretrial motion, from the filing of the motion through the conclusion of the hearing on, or other prompt disposition of, such motion"" (emphasis added). The question presented here is:
Whether time granted to prepare pretrial motions is excludable under § 3161(h)(1).","holding that filing of a pretrial motion falls within Speedy Trial Act's exclusion irrespective of actual delay in starting trial, and that weekend days and holidays are included in ten-day period of Speedy Trial Act provision excluding delay resulting from transportation of defendant","holding that a broad reading of the phrase ""including but not limited to"" ""would violate settled principles of statutory construction because it would ignore the structure and grammar of [the statute], and in so doing render even the clearest of the subparagraphs indeterminate and virtually superfluous.""","holding that abstention was proper, and finding ""significant ... the apparent absence of any proceedings in the District Court, other than the filing of the complaint, prior to the motion to dismiss""","holding that, for motions that require hearings, excludable pretrial-motion delay encompasses ""all time between the filing of a motion and the conclusion of the hearing on that motion, whether or not a delay in holding that hearing is reasonably necessary""",holding that the 30-day period permitted by 18 U.S.C. § 3161(c) did not automatically reset with a superseding indictment but observing that the trial court could have granted an ends of justice continuance to permit time for trial preparation,1,test
135,"Whether the Fourth Amendment requires reasonable, articulable suspicion to justify using a drug-detection dog to sniff a vehicle during a legitimate traffic stop.","holding that the Fourth Amendment is not violated when police use a drug-detection dog to sniff around the exterior of a vehicle during a lawful traffic stop lasting less than ten minutes, even when no reasonable, articulable suspicion of drug activity supports the use of the dog","holding that dog sniff of vehicle was not a search within meaning of Fourth Amendment and explaining that ""governmental conduct that only reveals the possession of contraband `compromises no legitimate privacy interest.'""","holding that ordering a driver out of his or her car during a routine traffic stop is not inconsistent with the Fourth Amendment, and noting that Pennsylvania did not go so far as to argue that frisking a driver during a routine traffic stop would always be consistent with the Fourth Amendment",holding that an arrest supported by probable cause and following a traffic stop did not violate the Fourth Amendment because of police officer's subjective motivation to search vehicle for evidence of crime,holding that a drug-sniffing dog's detection of drugs constitutes probable cause absent a showing of the dog's unreliability,0,test
136,"Whether a state forensic analyst’s laboratory report prepared for use in a criminal prosecution is “testimonial” evidence subject to the demands of the Confrontation Clause as set forth in Crawford v. Washington, 541 U.S. 36 (2004).","holding that the State of Washington's use of IOLTA to pay for legal services that were provided to the needy qualified as a ""public use,"" as required for exercise of the state's authority to confiscate private property under the Takings Clause",holding that the admission of a test that was not prepared to furnish evidence against a specific individual did not implicate the Confrontation Clause,holding a sworn certificate from a crime lab analyst identifying a controlled substance qualified as testimonial evidence because it was created for the purpose of establishing or proving some fact in trial and it was functionally identical to in-court testimony,"holding that the rule established in Crawford v. Washington, 541 U.S. 36 (2004) was a “new rule” for retroactivity purposes, even though it simply returned Confrontation Clause standards back to that which had prevailed prior to Ohio v. Roberts, 448 U.S. 56 (1980)","holding that Confrontation Clause requires analyst who conducted blood alcohol testing to testify, not surrogate analyst",2,test
137,"QUESTIONS PRESENTED:

1. Whether an action brought by a death-sentenced prisoner pursuant to 42 U.S.C. § 1983, which does not attack a conviction or sentence, is - simply because the person is under a sentence of death - to be treated as a habeas corpus case subject to the restriction on successive petitions which categorically precludes review of any constitutional violation not related to innocence (as the Fourth, Fifth and Eleventh Circuits hold), or can be maintained as § 1983 action (as the Sixth, Eighth and Ninth Circuits and several lower courts hold)?
2. Whether a cut-down procedure which involves pain and mutilation, conducted prior to an execution by lethal injection, violates the Eighth Amendment to the United States Constitution?
Whether a complaint brought under 42 U.S.C. Sec. 1983 by a death-sentenced state prisoner, who seeks to stay his execution in order to pursue a challenge to the procedures for carrying out the execution, is properly recharacterized as a habeas corpus petition under 28 U.S.C. Sec. 2254?","holding that ""constitutional claims that merely challenge the conditions of a prisoner's confinement, whether the inmate seeks monetary or injunctive relief, fall outside of core [of habeas corpus]""","holding that petition was not second or successive where the petitioner was sentenced to death, successfully petitioned for habeas corpus relief, received a new sentence and judgment after resentencing, and then filed the second habeas petition",holding that the Eighth and Fourteenth Amendments to the United States Constitution prohibit the execution of a person who was under sixteen years of age at the time of his or her offense,"holding that a death sentence for a conviction “for the rape of a child where the crime did not result, and was not intended to result, in death of the victim[,]” was barred by the Eighth Amendment","holding that the question to be decided by a federal court on habeas corpus is not whether the state committed state-law error, but rather, whether the state court's action was ""so arbitrary and capricious"" as to constitute an independent violation of the federal constitution",0,test
138,Must a plaintiff present direct evidence of discrimination in order to obtain a mixed-motive instruction in a non-Title VII discrimination case?,"holding that the employer bears the burden of negating causation in a mixed-motive discrimination case, noting ""[i]t is fair that [the employer] bear the risk that the influence of legal and illegal motives cannot be separated.""","holding that in order to receive a mixed motive instruction under Title VII, ""a plaintiff need only produce sufficient evidence for a reasonable jury to conclude, by a preponderance of the evidence, that [his or her protected status] was a motivating factor for any employment practice""","holding that based on the language of the ADEA, a ""plaintiff bringing a disparate-treatment claim pursuant to the ADEA must prove, by a preponderance of the evidence, that age was the ""but-for"" cause of the challenged adverse employment action""","holding that “[t]he balance, completeness, and structural integrity” of Title VII evidence that Congress intended it to provide the exclusive remedy for claims of discrimination in federal employment",holding that a federal court presented with a Title VII case should apply state preclusion law when the plaintiff had previously obtained in state court on-the-record review of a state agency's decision on the plaintiff 's discrimination claim,2,test
139,"Petitioners claim that CBR engaged in marital status discrimination under the Equal Credit Opportunity Act ('ECOA') by requiring their guaranties. The Sixth Circuit recently agreed that spousal guarantors have standing as 'applicants' to assert ECOA violations. The Eighth Circuit disagreed with the Sixth Circuit, deciding that ECOA 'applicants' unambiguously excludes guarantors. The Eighth Circuit's decision raises the following issues not yet decided by this Court:
Are 'primarily and unconditionally liable' spousal guarantors unambiguously excluded from being ECOA 'applicants' because they are not integrally part of 'any aspect of a credit transaction'?",holding that the Sixth Circuit erred in finding that the state court's jury instructions were contrary to clearly established federal law,"holding that the term ""employment practice"" in Title VII is not defined, but encompassed city's conduct when, in selecting applicants to advance in the hiring process, it excluded passing applicants who scored below a certain threshold on the qualification examination","holding that the federal statute permitting the decision to order an in banc hearing be made by ""a majority of the circuit judges of the circuit who are in active service,"" excludes retired judges from participation","holding that NLRB abused its discretion in requiring employer to release to union certain employee aptitude tests used to screen job applicants, in part because the ""remedy selected by the Board does not adequately protect the security of the tests""","holding that a guarantor unambiguously is not an ""applicant"" under the Act",4,test
140,"Whether an ""award of fees and other expenses"" under the Equal Access to Justice Act, 28 U.S.C. 2412(d), is payable to the ""prevailing party"" rather than to the prevailing party's attorney, and therefore is subject to an offset for a pre-existing debt owed by the prevailing party to the United States.","holding that ""plaintiffs may be considered ‘prevailing parties' for attorney's fees purposes if they succeed on any significant issues in litigation which achieves some of the benefit the parties sought in suit"" and that even an award of nominal damages satisfies the prevailing party test","holding that plaintiff who secures preliminary injunction does not qualify as prevailing party entitled to § 1988(b) award of attorney's fees ""if the merits of the case are ultimately decided against her""","holding that ""a prevailing party that satisfies EAJA's other requirements may recover its paralegal fees from the Government at prevailing market rates,"" which ranged from $50 to $95 per hour","holding that an award of fees under the Equal Access to Justice Act, 28 U.S.C. § 2412(d), is payable to the litigant, not to the attorney, and thus is available to offset a debt to the government","holding that ""in absence of special circumstances a district court not merely 'may' but must award fees to the prevailing plaintiff",3,test
141,"Whether the First Circuit erred when it created a circuit split and held-in clear conflict with this Court's decisions in PLIVA, Inc. v. Mensing, 131 S. Ct. 2567 (2011); Riegel v. Medtronic, Inc., 552 U.S. 312 (2008); and Cipollone v. Liggett Group, Inc., 505 U.S. 504 (1992)- that federal law does not preempt state law design-defect claims targeting generic pharmaceutical products because the conceded conflict between such claims and the federal laws governing generic pharmaceutical design allegedly can be avoided if the makers of generic pharmaceuticals simply stop making their products.",holding that Locomotive Inspection Act prevented plaintiff from pursuing a state-law design defect claim,"holding that a district court may decline to exercise its supplemental jurisdiction over state law claims by considering a ""host"" of factors, ""including the circumstances of the particular case, the nature of the state law claims, and the character of the governing state law, and the relationship between the state and federal claims""",holding that the FDA’s drug label- ing judgments pursuant to the FDCA did not obstacle preempt state law products liability claims,"holding that federal law preempted state failure-to-warn claims against generic drug manufacturers because ""[i]t was not lawful under federal law for the Manufacturers to do what state law required of them,"" i.e., ""to use a different, stronger label"" than the one approved by the FDA","holding that state-law claims that require major changes to, inter alia, the ""quantitative formulation"" or ""the specifications provided in the approved application"" for the drug are in conflict with, and therefor preempted by, federal law which forbids such changes without prior FDA approval",4,test
142,"The federal supplemental jurisdiction statute includes a provision, 28 U.S.C. § 1367(d), that tolls the period of limitations for supplemental claims while they are pending in federal court and for 30 days after they are dismissed. The question presented is
The federal supplemental jurisdiction statute includes a provision, 28 U.S.C. § 1367(d), that tolls the period of limitations for supplemental claims while they are pending in federal court and for 30 days after they are dismissed. The question presented is whether the tolling provision invades state sovereignty in violation of the Tenth Amendment and the Necessary and Proper Clause.",holding that a statute is authorized by the Necessary and Proper Clause when it “provides an alternative to [otherwise] unsatisfactory options” that are “obviously inefficient”,"holding that, although the claims over which the court had original jurisdiction had been dismissed, the court retained supplemental jurisdiction over the state-law claims; the decision to relinquish jurisdiction over those claims was therefore discretionary and not based on a lack of subject-matter jurisdiction","holding that a district court may decline to exercise its supplemental jurisdiction over state law claims by considering a ""host"" of factors, ""including the circumstances of the particular case, the nature of the state law claims, and the character of the governing state law, and the relationship between the state and federal claims""","holding that ""when the underlying cause of action is based on federal law and the absence of an express federal statute of limitations makes it necessary to borrow a limitations period from another statute, the action is not barred if it has been commenced in compliance with Rule 3 within the borrowed period.""",holding that the district court has supplemental jurisdiction to enter final judgment on a non-federal claim only if “the entire action before the court comprises but one constitutional ‘case’”,0,test
