index,question,answer,split
2675,"Consider the country of Iran. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
2676,"Consider the country of Iran. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",Yes,test
2677,"Consider the country of Iran. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
2678,"Consider the country of Iran. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
2679,"Consider the country of Iran. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
2680,"Consider the country of Iran. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
2681,"Consider the country of Iran. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",Yes,test
2682,"Consider the country of Iran. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
2683,"Consider the country of Iraq. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
2684,"Consider the country of Iraq. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
2685,"Consider the country of Iraq. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
2686,"Consider the country of Iraq. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
2687,"Consider the country of Iraq. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
2688,"Consider the country of Iraq. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",No,test
2689,"Consider the country of Iraq. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
2690,"Consider the country of Iraq. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",Yes,test
2691,Consider the country of Iraq. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
2692,Consider the country of Iraq. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
2693,Consider the country of Iraq. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
2694,"Consider the country of Iraq. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",No,test
2695,Consider the country of Iraq. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
2696,Consider the country of Iraq. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
2697,"Consider the country of Iraq. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
2698,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
2699,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
2700,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
2701,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",No,test
2702,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
2703,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,test
2704,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
2705,"Consider the country of Iraq. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
2706,"Consider the country of Iraq. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2707,"Consider the country of Iraq. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
2708,"Consider the country of Iraq. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,test
2709,"Consider the country of Iraq. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
2710,"Consider the country of Iraq. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
2711,"Consider the country of Iraq. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
2712,"Consider the country of Iraq. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
2713,"Consider the country of Iraq. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
2714,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",No,test
2715,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
2716,"Consider the country of Iraq. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
2717,"Consider the country of Iceland. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
2718,"Consider the country of Iceland. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
2719,"Consider the country of Iceland. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
2720,"Consider the country of Iceland. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
2721,"Consider the country of Iceland. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
2722,"Consider the country of Iceland. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,test
2723,"Consider the country of Iceland. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
2724,"Consider the country of Iceland. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
2725,Consider the country of Iceland. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
2726,Consider the country of Iceland. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
2727,Consider the country of Iceland. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
2728,"Consider the country of Iceland. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
2729,Consider the country of Iceland. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
2730,Consider the country of Iceland. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
2731,"Consider the country of Iceland. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
2732,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",Yes,test
2733,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
2734,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
2735,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,test
2736,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
2737,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,test
2738,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
2739,"Consider the country of Iceland. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
2740,"Consider the country of Iceland. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2741,"Consider the country of Iceland. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
2742,"Consider the country of Iceland. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,test
2743,"Consider the country of Iceland. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
2744,"Consider the country of Iceland. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
2745,"Consider the country of Iceland. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
2746,"Consider the country of Iceland. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",Yes,test
2747,"Consider the country of Iceland. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",Yes,test
2748,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",No,test
2749,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
2750,"Consider the country of Iceland. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
2751,"Consider the country of Israel. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
2752,"Consider the country of Israel. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
2753,"Consider the country of Israel. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",Yes,test
2754,"Consider the country of Israel. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
2755,"Consider the country of Israel. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
2756,"Consider the country of Israel. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,test
2757,"Consider the country of Israel. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
2758,"Consider the country of Israel. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
2759,Consider the country of Israel. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
2760,Consider the country of Israel. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
2761,Consider the country of Israel. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,Yes,test
2762,"Consider the country of Israel. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
2763,Consider the country of Israel. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
2764,Consider the country of Israel. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,No,test
2765,"Consider the country of Israel. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,test
2766,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
2767,"Consider the country of Israel. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
2768,"Consider the country of Israel. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
2769,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,test
2770,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
2771,"Consider the country of Israel. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,test
2772,"Consider the country of Israel. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",Yes,test
2773,"Consider the country of Israel. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2774,"Consider the country of Israel. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2775,"Consider the country of Israel. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
2776,"Consider the country of Israel. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,test
2777,"Consider the country of Israel. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",Yes,test
2778,"Consider the country of Israel. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
2779,"Consider the country of Israel. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
2780,"Consider the country of Israel. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
2781,"Consider the country of Israel. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
2782,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
2783,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,test
2784,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
2785,"Consider the country of Italy. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
2786,"Consider the country of Italy. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
2787,"Consider the country of Italy. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
2788,"Consider the country of Italy. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
2789,"Consider the country of Italy. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
2790,"Consider the country of Italy. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,test
2791,"Consider the country of Italy. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",Yes,test
2792,"Consider the country of Italy. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",Yes,test
2793,Consider the country of Italy. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
2794,Consider the country of Italy. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
2795,Consider the country of Italy. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
2796,"Consider the country of Italy. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
2797,Consider the country of Italy. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
2798,Consider the country of Italy. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
2799,"Consider the country of Italy. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
2800,"Consider the country of Italy. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
2801,"Consider the country of Italy. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
2802,"Consider the country of Italy. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
2803,"Consider the country of Italy. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,test
2804,"Consider the country of Italy. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
2805,"Consider the country of Italy. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,test
2806,"Consider the country of Italy. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
2807,"Consider the country of Italy. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,test
2808,"Consider the country of Italy. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2809,"Consider the country of Italy. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
2810,"Consider the country of Italy. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,test
2811,"Consider the country of Italy. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",Yes,test
2812,"Consider the country of Italy. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
2813,"Consider the country of Italy. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
2814,"Consider the country of Italy. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",Yes,test
2815,"Consider the country of Italy. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",Yes,test
2816,"Consider the country of Italy. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,test
2817,"Consider the country of Italy. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",Yes,test
2818,"Consider the country of Italy. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
2819,"Consider the country of Jamaica. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",No,test
2820,"Consider the country of Jamaica. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
2821,"Consider the country of Jamaica. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",Yes,test
2822,"Consider the country of Jamaica. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
2823,"Consider the country of Jamaica. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
2824,"Consider the country of Jamaica. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",No,test
2825,"Consider the country of Jamaica. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",Yes,test
2826,"Consider the country of Jamaica. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
2827,Consider the country of Jamaica. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
2828,Consider the country of Jamaica. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
2829,Consider the country of Jamaica. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,test
2830,"Consider the country of Jamaica. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",No,test
2831,Consider the country of Jamaica. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
2832,Consider the country of Jamaica. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
2833,"Consider the country of Jamaica. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,test
2834,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
2835,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
2836,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,test
2837,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,test
2838,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
2839,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,test
2840,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",Yes,test
2841,"Consider the country of Jamaica. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2842,"Consider the country of Jamaica. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2843,"Consider the country of Jamaica. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
2844,"Consider the country of Jamaica. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,test
2845,"Consider the country of Jamaica. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,test
2846,"Consider the country of Jamaica. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,test
2847,"Consider the country of Jamaica. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,test
2848,"Consider the country of Jamaica. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,test
2849,"Consider the country of Jamaica. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,test
2850,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",No,test
2851,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",Yes,test
2852,"Consider the country of Jamaica. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,test
2853,"Consider the country of Jordan. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,test
2854,"Consider the country of Jordan. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,test
2855,"Consider the country of Jordan. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,test
2856,"Consider the country of Jordan. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,test
2857,"Consider the country of Jordan. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,test
2858,"Consider the country of Jordan. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",No,test
2859,"Consider the country of Jordan. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,test
2860,"Consider the country of Jordan. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,test
2861,Consider the country of Jordan. Does the country provide for period of residence in a residence-based acquisition?,Yes,test
2862,Consider the country of Jordan. Which residence conditions does the country provide for residence-based acquisition?,Yes,test
2863,Consider the country of Jordan. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,Yes,test
2864,"Consider the country of Jordan. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,test
2865,Consider the country of Jordan. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,test
2866,Consider the country of Jordan. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,test
2867,"Consider the country of Jordan. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,test
2868,"Consider the country of Jordan. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,test
2869,"Consider the country of Jordan. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,test
2870,"Consider the country of Jordan. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,test
2871,"Consider the country of Jordan. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",No,test
2872,"Consider the country of Jordan. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,test
2873,"Consider the country of Jordan. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,test
2874,"Consider the country of Jordan. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,test
2875,"Consider the country of Jordan. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2876,"Consider the country of Jordan. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,test
2877,"Consider the country of Jordan. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,test
2878,"Consider the country of Jordan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,test
2879,"Consider the country of Jordan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",Yes,test
