index,question,text,answer,split
5189,what areas of my phone/computer does this gain access to?,"When you ask for assistance from our Customer Support team, we will collect and store the contact information you provide (generally your name and e-mail address), information about your game play or activity on the Games, and your user name or ID number.",Relevant,test
5190,do you ever sell my personal information to other companies for marketing purposes?,"To process, analyze and deliver your genetic testing results As described above, to receive results through the Personal Genetic Service, you must create a 23andMe account, register your kit, and submit your saliva sample to our contracted genotyping laboratory, which processes and analyzes your sample to provide us with your raw Genetic Information.",Relevant,test
5191,how long will you have my information for?                              ,"We will retain and use yourPersonal Informationas necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.",Relevant,test
5192,do vendors get my information?                                      ,"This Privacy Statement does not cover the collection methods or use of the information collected byThird-Party Ad-Servers, and Groupon is not responsible forCookiesor clear gifs in third party ads.",Relevant,test
5193,what information is collected from me?,"You should be aware that any information you provide or post in these areas may be read, collected, and used by others who access them.",Relevant,test
5194,are there other people who can access my information?,"(c) Advertising partners: to enable the limited advertisements on our service, we may share a unique advertising identifier that is not attributable to you, with our third party advertising partners, and advertising service providers, along with certain technical data about you (your language preference, country, city, and device data), based on our legitimate interest.",Relevant,test
5195,do you publish my data,"23andMe will ask for your consent to share Individual-level Genetic Information or Self-Reported Information with any third party, other than our service providers as necessary for us to provide the Services to you.",Relevant,test
5196,will the information be shared with a 3rd party,You may also discontinue your participation in 23andMe Research by deleting your 23andMe account (as described in section 5.d).,Relevant,test
5197,is my data safe from unwanted guests?,"  Some of the personal information you provide to us may be stored or processed on our behalf by third party suppliers and data processors and may be located in other jurisdictions, such as the United States and Israel, whose laws may differ from the jurisdiction in which you live.",Relevant,test
5198,does it share my personal information with others?           ,"If you would like more information about these practices and to know your choices about not having this information used by third party advertisers, please visithttp://www.networkadvertising.organdhttp://www.aboutads.info/choices/.",Relevant,test
5199,does the app store searches that i do?,We use them to collect visitors preferences and thus to better optimize the user experience.,Relevant,test
5200,is my search and purchase history shared with advertisers?  ,"Information collected may be used, among other things, to deliver advertising targeted to your interests and to better understand the usage and visits to the Site and the other websites tracked by these third parties.",Relevant,test
5201,will my test results be shared with any third party entities?,"While 23andMe directly conducts the majority of data processing activities required to provide our Services to you, we engage some third party service providers to assist in supporting our Services, including in the following areas:",Relevant,test
5202,do i have to tell you my location?                           ,"Device Datamay be collected automatically, and as soon as your device interacts with the Site and Groupon, even if you are not logged into the Site using your device.",Relevant,test
5203,can it access my other social media accounts?,"We collect the information to provide you a better service  for example, to:",Relevant,test
5204,how is any information collected by viber shared with other parties?,"(c) Advertising partners: to enable the limited advertisements on our service, we may share a unique advertising identifier that is not attributable to you, with our third party advertising partners, and advertising service providers, along with certain technical data about you (your language preference, country, city, and device data), based on our legitimate interest.",Relevant,test
5205,what are the permissions?,  We do not sell or rent your personal information to third parties for their marketing purposes without your explicit consent.,Relevant,test
5206,is my information sold to any third parties?,"  We may provide your personal details to third parties, only in order to operate the Site, provide our services to you, fulfil obligations imposed on us by applicable laws and regulations, and prevent fraud and illegal activities, as detailed below:",Relevant,test
5207,do you sell my genetic data?,"When you use our Services, including our website or mobile app(s), our third party service providers may collect Web-Behavior Information about your visit, such as the links you clicked on, the duration of your visit, and the URLs you visited.",Relevant,test
5208,does this app get access to my other apps like twitter and instagram?,"We will not disclose or transfer your personal information to any non-affiliated third parties, unless:",Relevant,test
5209,how is my data stored?,"Upon deactivation of your account, we will minimize the personal data we keep about you only to such data which we are required to keep to comply with laws, or other legal reasons.",Relevant,test
5210,does the app offer a password service where i am required to input a password when i want to access it?,"Linking your email to Viber and Rakuten group: When you select to connect your email to your Viber account, we will use information you provided in the registration process (eg, name, email, password, phone number), as well as your IP address to do so.",Relevant,test
5211,do you ever sell my personal information to other companies for marketing purposes?,We may provide additional notice and ask for your prior consent if we wish to share your Personal Information with our commonly owned entities in a materially different way than discussed in this Privacy Statement.,Relevant,test
5212,how do i restrict it's access?,"Proper access and use of information provided on the Site, including UGC, is governed by our Terms of Service.",Relevant,test
5213,what steps do you take to protect my data from hackers?,"23andMe access controls include multi-factor authentication, single sign-on, and strict least-privileged authorization policy.",Relevant,test
5214,"does it need my location at all times, or can i just type in it whenever i'm looking for a coupon?",When you first visit or use the Site we may request permission to collect and use your devices precise geolocation.,Relevant,test
5215,does it sell my data to anyone?                                                           ,"with a purchaser or prospective purchaser of Groupon or any of the GrouponAffiliates(or all or a portion of their assets), as described below inSection 10;",Relevant,test
5216,is my search and purchase history shared with advertisers?  ,"Business Partnersmeans, collectively, third parties with whom we conduct business, such as merchants, co-marketers, distributors, resellers, and other companies or organizations with whom Groupon enters into agreements to support its business and operations.",Relevant,test
5217,do you sell any of our data?,Your posts on public accounts and communities may remain available if you do not delete them.,Relevant,test
5218,will the app use my data for marketing purposes?,"For example, we may provide you with advanced training classes with your updated weight and body measurement in aims to help you achieve your training goals smoothly.",Relevant,test
5219,how is my contribution used for other people that share my dna?,"Users with multi-profile accounts (i.e., where multiple family members register their kits to one account) should use caution in setting profile-level privacy settings.",Relevant,test
5220,do you publish my data,You may also discontinue your participation in 23andMe Research by deleting your 23andMe account (as described in section 5.d).,Relevant,test
5221,what information of mine does it access,"When you order any good or service through the Game, including any virtual currency or virtual good, our payment processing service provider will collect your name, phone number, e-mail address, mailing address, billing address, and complete credit card information that enables them to receive your payment.",Relevant,test
5222,what kind of permissions do i have to grant it?              ,When you first visit or use the Site we may request permission to collect and use your devices precise geolocation.,Relevant,test
5223,how am i sure no one will steal my identity?,"Once we have received your data, we will use strict procedures and security features to try to prevent unauthorized access.",Relevant,test
5224,do you need any information from me in order to play?,"Flurry Analytics: If you wish to find out more information on Flurry analytics, please follow this link: http://www.flurry.com/legal-privacy/privacy-policy",Relevant,test
5225,does it share my personal information with others?           ,"If you use any features on the Site to send information about a product or service to another person (eg, a friend, a colleague, a professional associate, etc), we will also collect thePersonal Informationof that other person to the extent disclosed by you and may contact them using the information you provided us.",Relevant,test
5226,what information is collected about users?,"(b) Improve our Services:We use call log information and usage information (as described above) to better understand network behavior and trends (numbers of messages and calls made by users, typical destinations, call lengths, network type, etc), detect potential outages and technical issues (this helps us notice things like a drop in call volume in a certain geography, a shift in call length, a change in typical networks, etc) to improve our Services.",Relevant,test
5227,do you use my data to do medical research,You may withdraw your consent to participate in 23andMe Research at any time by changing your consent status within your Account Settings.,Relevant,test
5228,how is information used?,"  We may provide your personal details to third parties, only in order to operate the Site, provide our services to you, fulfil obligations imposed on us by applicable laws and regulations, and prevent fraud and illegal activities, as detailed below:",Relevant,test
5229,what information does the company store about me?,"  We collect information that you provide us or voluntarily share with other users, and also some general technical information that is automatically gathered by our systems, such as IP address, browser information and cookies to enable you to have a better user experience and a more personalized browsing experience.",Relevant,test
5230,what data is the app taking from me?,Lima Sky may use tools or third party analytical software to automatically collect and use certain non-personal data that does not directly enable Lima Sky to identify you.,Relevant,test
5231,will my information be saved after i use groupon once?              ,"provide information to enroll or participate inOther Programsprovided on behalf of, or together with,Business Partners;",Relevant,test
5232,do you ever sell my personal information to other companies for marketing purposes?,"23andMe will preserve and disclose any and all information to law enforcement agencies or others if required to do so by law or in the good faith belief that such preservation or disclosure is reasonably necessary to: (a) comply with legal or regulatory process (such as a judicial proceeding, court order, or government inquiry) or obligations that 23andMe may owe pursuant to ethical and other professional rules, laws, and regulations; (b) enforce the 23andMe Terms of Service and other policies; (c) respond to claims that any content violates the rights of third parties; or (d) protect the rights, property, or personal safety of 23andMe, its employees, its users, its clients, and the public.",Relevant,test
5233,what information are they collecting?,"If you do not want us to collect location information, you may disable that feature on your mobile device.",Relevant,test
5234,what permissions does it request on my phone?                      ,"Currently, we do not alter our data collection and use practices in response to Do Not Track signals.",Relevant,test
5235,do vendors get my information?                                      ,"Operate, maintain and improve the Site and our services, andOther Programs;",Relevant,test
5236,how do i remove it?,"When updating your personal information, we may ask you to verify your identity before we can act on your request.",Relevant,test
5237,what kind of permissions does this app require?," Non-Personal Information: It includes but is not limited to your devices configuration, the package ID and version of the application that you use.",Relevant,test
5238,are there any reports of malware that have affected users of this app?,For Accounts registered directly with PeopleFun profile information is initially only available from the device that was used for registration.,Relevant,test
5239,hwere is it saved,Information we collect may be stored or processed on computers located in any country where we do business.,Relevant,test
5240,will you ever sell my information?                                                        ,"Enhance other information we have about you directly or fromOther Sourcesto help us better understand you and determine your interests, and to",Relevant,test
5241,does this app access any of my data behind the scenes?,"We need your age, height and weight to calculate your consumption of calorie when you complete each training class.",Relevant,test
5242,does it need location services while not using it?           ,"You can opt not to permit the collection of this information, or permit it only when using the mobile app, but it may limit certain functions or features of the Site.",Relevant,test
5243,can groupon see what i'm shopping for on the internet?       ,provide information to ourVendors.This Privacy Statement does not apply to the collection of information in any way other than as listed above.,Relevant,test
5244,is my data safe from unwanted guests?,We contractually ensure that any third party processing your personal information equally provide for confidentiality and integrity of your data in a secure way.,Relevant,test
5245,can groupon see what i'm shopping for on the internet?       ,"If you would like more information about these practices and to know your choices about not having this information used by third party advertisers, please visithttp://www.networkadvertising.organdhttp://www.aboutads.info/choices/.",Relevant,test
5246,do you sell any of our data?,"The information may be disclosed to: (i) provide joint content and our services (eg, registration, coordination of membership accounts between the Viber corporate family, transactions, analytics and customer support); (ii) help detect and prevent potentially illegal acts, violations of our policies, fraud and/or data security breaches.",Relevant,test
5247,who will have access to my dna?,"Your Genetic Information and/or Self-Reported Information will be used for research purposes, but it will be de-identified and will not be linked to your Registration Information.",Relevant,test
5248,is my dna information used in any other way besides what is specified?,"23andMe Research may study a specific group or population, identify potential areas or targets for therapeutics development, conduct or support the development of drugs, diagnostics or devices to diagnose, predict or treat medical or other health conditions, work with public, private and/or non-profit entities on genetic research initiatives, or otherwise create, commercialize, and apply this new knowledge to improve health care.",Relevant,test
5249,will you ever sell my information?                                                        ,"to facilitate a direct relationship with you, including in connection with any program we administer on behalf of theBusiness Partner;",Relevant,test
5250,will my test results be shared with any third party entities?,"When you use our Services, including our website or mobile app(s), our third party service providers may collect Web-Behavior Information about your visit, such as the links you clicked on, the duration of your visit, and the URLs you visited.",Relevant,test
5251,will my personal details be shared with third party  companies?,We may keep activity data on a non-identifiable basis to improve our services.,Relevant,test
5252,what kind of os support to this app?                                                               ,Please refer to instructions provided by your mobile service provider or the manufacturer of your device to learn how to adjust your settings.,Relevant,test
5253,do you publish my data,"However, your Genetic Information and Self-Reported Information may still be used by us and shared with our third party service providers to as outlined in this Privacy Statement.",Relevant,test
5254,is my dna information used in any other way besides what is specified?,"To provide you with Services and analyze and improve our Services We use the information described above in Section 2 to operate, provide, analyze and improve our Services.",Relevant,test
5255,is my search and purchase history shared with advertisers?  ,"Vendorsmeans, collectively, third parties that perform business operations on behalf of Groupon, such as transaction processing, billing, mailing, communications services (e-mail, direct mail, etc), marketing, data processing and analytics, servicing, collections, ad management, or information technology services.",Relevant,test
5256,where are my test results stored?,"Unless you consent to Biobanking and additional analyses, your saliva sample and DNA are destroyed after the laboratory completes its work, subject to the laboratory's legal and regulatory requirements.",Relevant,test
5257,does the wordscapes app collect any personally identifiable information like my name or email?,We do not condition participation in our Services on you providing more personal information than is reasonably necessary for that activity.,Relevant,test
5258,will you sell my information?,"They use cookies and similar technologies, to gather information about your browser's or device's visits and usage patterns on our Services and on other websites over time, which helps to better personalize ads to match your interests, and to measure the effectiveness of ad campaigns.",Relevant,test
5259,is my search and purchase history shared with advertisers?  ,"to comply with legal orders and government requests, or as needed to support auditing, compliance, and corporate governance functions;",Relevant,test
5260,when i installation time any personal details ask in this app?,"If you create an Account, you may be required to provide your name, e-mail address, a password and other information that helps us confirm that it is you accessing your account.",Relevant,test
5261,is it possible for health insurance companies to get ahold of my data?,You may also discontinue your participation in 23andMe Research by deleting your 23andMe account (as described in section 5.d).,Relevant,test
5262,how does the app make sure my genetic data stays secure?,"Individual-level Information: information about a single individual's genotypes, diseases or other traits/characteristics, but which is not necessarily tied to Registration Information.",Relevant,test
5263,does it save any of my health data?,"To provide you with a better experience through improving our products, services, content, and advertising or otherwise where you have consented, we may share the personal information with our affiliate companies and with joint venture partners and third-party service providers, contractors and agents, and use it consistent with this Privacy Policy.",Relevant,test
5264,does the app protect my account details from being accessed by other people?,That means your name and photo (if you choose to provide them) will be visible to other Viber users.,Relevant,test
5265,what information does this app collect from my phone,"Additionally, non-personal data means aggregate and de-personalized information, which is data Lima Sky collects about the use of Services, from which any personally identifiable data has been removed.",Relevant,test
5266,how is any information collected by viber shared with other parties?,This includes partners managing our advertising placements and also advertisers themselves and their agencies or third parties managing their advertising demands.,Relevant,test
5267,do you sell any of our data?,"The information provided in your registration, if you link your email to the Viber account, will be shared with Rakuten group to create the Rakuten account and/or to link your Rakuten account with your Viber account.",Relevant,test
5268,what information will this app have access to of mine?,"We will never share with or sell the information gained through the use of Apple HealthKit, such as age, weight and heart rate data, to advertisers or other agencies without your authorization.",Relevant,test
5269,what type of permissions does the app need to operate?              ,"Browsers are different, so refer to instructions related to your browser to learn about cookie-related and other privacy and security settings that may be available.",Relevant,test
5270,will my workout data be given to anyone else or shared with anyone (i.e. insurance companies)?,"In order to participate in certain features, you may have to adjust your Privacy settings and share more information.",Relevant,test
5271,what information can the other party see about me?,"(c) Activity Information:While using the Viber Services, we will collect, and other users can see, your connection status, whether you have received and seen messages sent to you, if you are currently on another call, and information related to the calls and messages you have sent and received such as length of the call, who called who, who messaged who, and at what time; if you do not want people to know that youre online or that youve seen messages, you can change these options in your settings.",Relevant,test
5272,who has access to my test results?,"You have the option to share directly with individuals with 23andMe accounts through (i) our Forums, (ii) relative finding features (eg, ""DNA Relatives""), (iii) other sharing features and tools.",Relevant,test
5273,how long is information saved,Lima Sky retains the data collected pursuant to this Privacy Policy for the period necessary to fulfill the purposes outlined in this Privacy Policy unless a longer retention period is required or permitted by law.,Relevant,test
5274,does it sell data,to analyze traffic and other end user activity to improve your experience).,Relevant,test
5275,do i have to tell you my location?                           ,"You can opt not to permit the collection of this information, or permit it only when using the mobile app, but it may limit certain functions or features of the Site.",Relevant,test
5276,does it sell data,We may also allow advertisers to collect these types of information within the Games and they may share it with us.,Relevant,test
5277,does it sell my data to anyone?                                                           ,"to combat fraud or criminal activity, and to protect our rights or those of ourAffiliates, users, andBusiness Partners, or as part of legal proceedings affecting Groupon;",Relevant,test
5278,does it share my personal information with others?           ,with ourVendorsto provide services for us and who are required to protect thePersonal Information;,Relevant,test
5279,does it have access to my contacts?,"Your Account may be used to publicly identify you as part of social features of the Services, which may include user-to-user interaction, chat or messaging functionality, public leaderboards, head-to-head competition, and other similar features.",Relevant,test
5280,does it read my contacts?,Please note that purchases from third parties may also be subject to additional policies.,Relevant,test
5281,does it share my purchase information with others?                                        ,"You provide us with yourPersonal Informationwhen you register, subscribe, create an account, make a purchase, or otherwise when you provide us with yourPersonal Informationduring your interaction with the Site andOther Programs.",Relevant,test
5282,are my video calls recorded?,"(f) Communicate With You: As part of the Viber family, we want to keep in touch with you.",Relevant,test
5283,how is my information protected when i'm using your app over wi-fi?,"Note that chats with bots and Public Accounts, and communities are not end-to-end encrypted, but we do encrypt such messages when sent to the Viber servers and when sent from the Viber servers to the third party (the Public Account owner and/or additional third party tool (eg CRM solution) integrated by such owner).",Relevant,test
5284,will you ever sell my information?                                                        ,"Administer rewards, surveys, sweepstakes, contests, or other promotional activities or events sponsored by us or ourBusiness Partners;",Relevant,test
5285,will it be shared,"To operate the service, we also may make identifiable and anonymous information available to third parties in these limited circumstances: (1) with your express consent, (2) when we have a good faith belief it is required by law, (3) when we have a good faith belief it is necessary to protect our rights or property, or (4) to any successor or purchaser in a merger, acquisition, liquidation, dissolution or sale of assets.",Relevant,test
5286,does viber have any affiliation with the advertisement industry?,"(c) Advertising partners: to enable the limited advertisements on our service, we may share a unique advertising identifier that is not attributable to you, with our third party advertising partners, and advertising service providers, along with certain technical data about you (your language preference, country, city, and device data), based on our legitimate interest.",Relevant,test
5287,does 23andme use my test results for marketing purposes?,"Our cloud storage providers provide secure storage for information in 23andMe databases, ensure that our infrastructure can support continued use of our Services by 23andMe customers, and protect data in the event of a natural disaster or other disruption to the Service.",Relevant,test
5288,will the information be shared with a 3rd party,"If you choose not to complete a Consent Document or any additional agreement with 23andMe, your Personal Information will not be used for 23andMe Research.",Relevant,test
5289,what kind of permissions does this app require?,We use them to collect visitors preferences and thus to better optimize the user experience.,Relevant,test
5290,do you publish my data,23andMe will use and share your Personal Information with third parties only in the ways that are described in this Privacy Statement.,Relevant,test
5291,do i need to enter any personal information to use it?,"Personal Informationmeans information about you that specifically identifies you or, when combined with other information we have, can be used to identify you.",Relevant,test
5292,does it have access to my camera?                            ,"Allow you to apply for a job, post a video or sign up for special offers from merchants,Business Partners, or third parties through the Site andOther Programs;",Relevant,test
5293,are there any advertisements within the wordscapes app that could lead me to third party sites?,to analyze traffic and other end user activity to improve your experience).,Relevant,test
5294,can other parties see my information,"   to service providers for the purpose of opening and operating your account as well as providing ancillary services (example - payment vendors, CRM systems, forum hosting, community management services, mailing systems or technical consultants).",Relevant,test
5295,will it be able to determine my location?," Non-Personal Information: It includes but is not limited to your devices configuration, the package ID and version of the application that you use.",Relevant,test
5296,is any information recorded,"To use our genetic testing services, you must purchase, or receive as a gift, a 23andMe Personal Genetic Service testing kit, create an online account and register your kit, and ship your saliva sample to our third party laboratory.",Relevant,test
5297,will potential employers be able to obtain my address?,"We are not exposed to the payment information provided to our payment vendors, and this information is subject to the privacy policy applicable to the payment vendor; and",Relevant,test
5298,how does the app make sure my genetic data stays secure?,"We limit access to Personal Information to authorized personnel, based on job function and role.",Relevant,test
5299,does this app get access to my other apps like twitter and instagram?,"Any information included in your publicly visible Keep profile, which may include your profile ID, name and photo;",Relevant,test
5300,can i submit a request to have my data deleted?,"Please refer to those third-party sites privacy policies and terms of use to learn more about their privacy practices, as we do not control these.",Relevant,test
5301,do you ever sell my personal information to other companies for marketing purposes?,"Our distribution centers ship your kit(s) to you, and in some cases help return your kit safely to our third party laboratory so your sample can be processed.",Relevant,test
5302,what information is shared when i choose to connect with someone?,"To allow you to share your Personal Information with others 23andMe gives you the ability to share information, including Personal Information, through the Services.",Relevant,test
5303,do you use my data to do medical research,To allow you to share your Personal Information for 23andMe Research purposes You have the choice to participate in 23andMe Research by providing your consent.,Relevant,test
5304,can groupon see what i'm shopping for on the internet?       ,We also may use information collected as described in this Privacy Statement with your consent or as otherwise required or permitted by law.,Relevant,test
5305,is my search and purchase history shared with advertisers?  ,"We will collect information, includingPersonal InformationandNon-Identifying Information, when you interact with us and the Site, for example when you:",Relevant,test
5306,will anyone have digital access to my test results?,"23andMe has implemented an incident management program using industry best practices, including guidance from the National Institute of Standards and Technology (NIST).",Relevant,test
5307,is my data anonymized?,"Aggregate Information: information that has been combined with that of other users and analyzed or evaluated as a whole, such that no specific individual may be reasonably identified.",Relevant,test
5308,what permissions does the app request?,to deliver and target behavioral or personalized ads; and to inform users about new products or promotional offers.,Relevant,test
5309,is my information sold,"In certain instances, you may need to opt in or opt out of advertising directly through our partners.",Relevant,test
5310,how is my data stored?,"(f) Communicate With You: As part of the Viber family, we want to keep in touch with you.",Relevant,test
5311,what permissions are required?,"Information you make available to us when you open a Keep account, as set out above;",Relevant,test
5312,can i submit a request to have my data deleted?,"First of all, we want you to be assured that we do not read or listen to the content of your messages and/or calls made privately via Viber and we do not store those messages once they have been delivered to their destination (which on average takes less than one second).",Relevant,test
5313,will my workout data be given to anyone else or shared with anyone (i.e. insurance companies)?,"We will not disclose or transfer your personal information to any non-affiliated third parties, unless:",Relevant,test
5314,what do you do to keep my personal information private?,We will take all steps reasonably necessary to ensure that your personal information is treated securely and in accordance with this Policy.,Relevant,test
5315,does the wordscapes app collect any personally identifiable information like my name or email?,Please note that purchases from third parties may also be subject to additional policies.,Relevant,test
5316,does 23andme use my test results for marketing purposes?,"23andMe Research may be sponsored by, conducted on behalf of, or in collaboration with third parties, such as non-profit foundations, academic institutions or pharmaceutical companies.",Relevant,test
5317,what information can the other party see about me?,"If your personal information was intended to be used differently, we would ask the new entity to provide you with prior notice.",Relevant,test
5318,do you keep track of my physical measurements like height and weight?,"For example, we may collect Personal Information with Keep via the following:",Relevant,test
5319,are there specific privacy settings in the app that would allow me to adjust my privacy preferences as i see fit?,"  We reserve the right to change this Policy at any time, so please re-visit this page frequently.",Relevant,test
5320,what information is shared,"If you follow a link to any of these websites, please note that this Privacy Policy does not apply to those websites.",Relevant,test
5321,will you sell my information?,"Some sharing features, including receiving sharing invitations, may require that you opt-out, however you will always be required to take a positive action, such as opting in, to share sensitive data.",Relevant,test
5322,are my ideas uploaded to any servers?,"to provide our services or information you request, and to process and complete any transactions; to respond to your emails, submissions, questions, comments, requests, and complaints and provide customer service; to analyze usage and trends with anonymous user data, and to improve the quality of our service and user experience; to send you confirmations, updates, security alerts, and support and administrative messages and otherwise facilitate your use of, and our administration and operation of, our services; You are welcome to ask for our confirmation whenever you feel concerned about how your personal information is being processed, where and for what purpose.",Relevant,test
5323,who will be able to see my information and/or the messages that i send?,"Some of the safeguards we use include firewalls, data encryption, physical access controls to our data centers and information access authorization controls.",Relevant,test
5324,do you record what our cameras see?,"(b) Improve our Services:We use call log information and usage information (as described above) to better understand network behavior and trends (numbers of messages and calls made by users, typical destinations, call lengths, network type, etc), detect potential outages and technical issues (this helps us notice things like a drop in call volume in a certain geography, a shift in call length, a change in typical networks, etc) to improve our Services.",Relevant,test
5325,what information is collected about users?,"When you interact with Public Accounts, bots and Communities on our Service, we may obtain information about the messages you have liked, comments you have left and also websites youve viewed through links in them.",Relevant,test
5326,do you sell my genetic data?,"If you choose not to complete a Consent Document or any additional agreement with 23andMe, your Personal Information will not be used for 23andMe Research.",Relevant,test
5327,do you record what our cameras see?,Viber Out Account Registration:Our Viber Out service allows you to call a number outside of the Viber registered community at low cost local rates.,Relevant,test
5328,could the wordscapes app contain malware?,It is important that you protect and maintain the security of your Account and that you immediately notify us of any unauthorized use of your Account.,Relevant,test
5329,can other users see any of my personal info if i use groupon?,"All the information you post may be accessible to anyone with Internet access, and anyPersonal Informationyou include in your posting may be read, collected, and used by others.",Relevant,test
5330,how does fiverr protect freelancers' personal information?,"We may collect additional information such as physical address, telephone number or other contact details and additional authentication information, to provide you with the services you need (such as payment or withdrawal of funds, sending physical goods), or to ensure the marketplace integrity (for example, prevention of fraud).",Relevant,test
5331,can i submit a request to have my data deleted?,You can disable the seen notification so that other users do not know whether youve read a message yet.,Relevant,test
5332,does it have access to other apps like credit card app?,We may also access your contacts to enable you to invite friends to join you in the Games.,Relevant,test
5333,does this app access any of my data behind the scenes?,"We use your information to ensure our services are working as intended, such as troubleshooting issues reported from you.",Relevant,test
5334,are my ideas uploaded to any servers?,You can voluntarily delete your TickTick account at any time on the Web and have all your data erased from our server.,Relevant,test
5335,what control do i have as a user to limit the access to my account?,"(c) Activity Information:While using the Viber Services, we will collect, and other users can see, your connection status, whether you have received and seen messages sent to you, if you are currently on another call, and information related to the calls and messages you have sent and received such as length of the call, who called who, who messaged who, and at what time; if you do not want people to know that youre online or that youve seen messages, you can change these options in your settings.",Relevant,test
5336,will the data i input into the app be monitored?,"Any information included in your publicly visible Keep profile, which may include your profile ID, name and photo;",Relevant,test
5337,will the information be shared with a 3rd party,To allow you to share your Personal Information for 23andMe Research purposes You have the choice to participate in 23andMe Research by providing your consent.,Relevant,test
5338,who will have access to the info i enter into the application?,Please check their policies before submitting any of your personal data.,Relevant,test
5339,do vendors get my information?                                      ,"Allow you to apply for a job, post a video or sign up for special offers from merchants,Business Partners, or third parties through the Site andOther Programs;",Relevant,test
5340,can it access my other social media accounts?,"When you make purchases through Keep, you may need to provide certain Personal Information to complete the purchase, such as your credit card information, bank account information.",Relevant,test
5341,what will you do with my dna?,"You have the option to share directly with individuals with 23andMe accounts through (i) our Forums, (ii) relative finding features (eg, ""DNA Relatives""), (iii) other sharing features and tools.",Relevant,test
5342,is my information shared with any third parties?,Our IT and security providers assist with intrusion detection and prevention measures to stop any potential attacks against our networks.,Relevant,test
5343,will you destroy my dna sample when you are finished?,"Once you submit your request, we will send an email to the email address linked to your 23andMe account detailing our account deletion policy and requesting that you to confirm your deletion request.",Relevant,test
5344,does the app need any special permissions to run?,We use them to collect visitors preferences and thus to better optimize the user experience.,Relevant,test
5345,how long do you retain meta data?,"If you want to useViber Out, youll need to create a Viber Account by selecting a password, and providing certain personal information (eg, name, email and billing information).",Relevant,test
5346,can it access my other social media accounts?,"Any information included in your publicly visible Keep profile, which may include your profile ID, name and photo;",Relevant,test
5347,how long do you store my medical information for?,"Unless you consent to sample storage (Biobanking) and additional analyses, your saliva sample and DNA are destroyed after the laboratory completes its work, subject to the laboratory's legal and regulatory requirements.",Relevant,test
5348,does this app look at any other data on my laptop outside of the folders i've given it permission to look at?,We use them to collect visitors preferences and thus to better optimize the user experience.,Relevant,test
5349,what type of access does it have on my device?,"When you access our Services, we may collect (i) certain technical information about your mobile device or computer system, including IP Address, mobile device ID (IDFA, Google Advertising ID or other identifiers), and the version of your operating system; and (ii) usage statistics about your interactions with the Games.",Relevant,test
5350,does 23andme use my test results for marketing purposes?,Your De-identified Genetic and Self-Reported Information may be used for 23andMe Research only if you have consented to this use by completing a Consent Document.,Relevant,test
5351,will it sell any of the data that it collects?,"To operate the service, we also may make identifiable and anonymous information available to third parties in these limited circumstances: (1) with your express consent, (2) when we have a good faith belief it is required by law, (3) when we have a good faith belief it is necessary to protect our rights or property, or (4) to any successor or purchaser in a merger, acquisition, liquidation, dissolution or sale of assets.",Relevant,test
5352,has people's information been compromised recently,We contractually ensure that any third party processing your personal information equally provide for confidentiality and integrity of your data in a secure way.,Relevant,test
5353,are my message encrypted on viber?,"We maintain technical, physical, and administrative security measures to protect the security of your personal information against loss, misuse, unauthorized access, disclosure, or alteration.",Relevant,test
5354,will my workout data be given to anyone else or shared with anyone (i.e. insurance companies)?,"You may also choose to share your activity on other platforms, such as Facebook, Twitter or Instagram.",Relevant,test
5355,are you accessing and information about me from my phone?,The information we receive is dependent upon your privacy settings with the social network.,Relevant,test
5356,what information are they collecting?,You can adjust the types of notifications you receive and when you receive them by editing your notification settings.,Relevant,test
5357,does the app access my contact list?,"Please read the Privacy Policies of those platforms, as your activity published on those platforms will no longer be governed by this Privacy Policy.",Relevant,test
5358,what permissions does it request on my phone?                      ,"Groupon, Inc. is a member of the Digital Advertising Alliance, which is a media marketing and trade association that has issued self-regulatory guidelines for online advertising.",Relevant,test
5359,does it need to use the microphone at all?                                                ,"provide information to enroll or participate inOther Programsprovided on behalf of, or together with,Business Partners;",Relevant,test
5360,what kind of personal info does groupon have on me?                 ,We useCookiesandDevice Datathat allow us to connect your Site activity with other information we store about you in your profile or as related to your interactions with the Site.,Relevant,test
